Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,05/15/2001 23:59,Delhi (India),,India,Unknown,"In the summer of 2001,in Delhi,(India) and adjoining areas a living being (people call it Monkey man) seen many times,there was a lot o",11-04-2002,,
Open,05/13/2001 23:15,Bangalore (India),,India,Other,"Sighting over Bangalore, India",05/24/2001,,
Open,05-10-2001 22:30,Ghaziabad (India),,India,,"MASKED THAT SCTRACHED &HIT, FLY HIGH &AFFECTED REPORTED LOSS OF BODY CONTROL",05/14/2001,,
Open,05-09-2001 20:40,Bombay (India),,India,,I and my friend were watching the star.suddenly we both saw a big flying object.it was flying above the clouds.it was transparent and h,05-10-2001,,
Open,04/29/2001 04:30,Jalandhar (India),,India,Fireball,The fireball is continously seen here up in the sky at night for last three days. I think that Indian army don't know how to make conta,04/28/2001,,
Open,04/28/2001 22:00,New Delhi (India),,India,Triangle,Triangular metal craft seen in new Delhi around April 2001,06/23/2001,,
Open,04-12-2001 23:30,New Delhi (India),,India,Orb,Red Light in Indian Capital,05/13/2004,,
Open,04-01-2001 19:00,Bangalore (India),,India,,,05/13/2002,,
Open,03/27/2001 21:15,Ambala (India),,India,Fireball,The glowing ball changing colors and moving in different directions.,03/28/2001,,
Open,03/23/2001 02:15,Mumbai (India),,India,Oval,its great green glow.,03/23/2001,,
Open,02/28/2001 19:05,Ahmedabad (India),,India,Egg,"Dear all, Till today I was not believeing in this thing but yesterday we have found really very typical experience at Ahmedabad city in",03-01-2001,,
Open,11-10-2000 00:20,Nasik (India),,India,Unknown,"We were going for an exploratry drive, as we'd arrived in the city on that day itself. My 17 year old cousin, my best friend and I were",11/24/2000,,
Open,10-04-2000 17:00,Goa (India),,India,Other,While driving back from Panji to Goa we observed three peculiar cloud formations stacked one above the other.The sky was clear and the,10-07-2000,,
Open,08/16/2000 22:05,New Delhi (India),,India,Light,Two UFOs sighted in the Southern sky of New Dlehi.,08/16/2000,,
Open,05-12-2000 13:00,"Palakkad,Kerala (India)",,India,Sphere,"Witnessed ufo changing colours on June 12th, 2000 - 6 witnesses",05/20/2001,,
Open,04/19/2000 22:20,Secunderabad (India),,India,Disk,"Sighting of 2 UFO objects in Secunderabad, India, spotted by several other people.",05/15/2000,,
Open,01/22/2000 17:30,Aurangabad.Maharashtra (India),,India,Fireball,NUFORC Note: Witness reports fireball. PD)),10/13/2000,,
Open,12-10-1999 16:30,Cochin (near) (China),,India,Other,"a bullet like object in air very close to earth,so directional and path changing",09/29/2005,,
Open,10/23/1999 05:30,Mumbai (India),,India,Other,It glowed with a redlight in the sky. It moved horizontally and vertically a little. It looked like a star but it wasn't one. I just wo,10/25/1999,,
Open,06-01-1999 19:00,Panaji (India),,India,Light,"In the evening,my friend and I were taking a round of the lake near our house. We spotted a white light flashing in a dark starry and a",06/26/2006,,
Open,04-07-1999 23:00,"Mumbai, MAH (India)",MB,India,Sphere,"We were on out our terrace studying the stars in the night sky, when we heard a loud noise, something like a jet plane.",04-08-1999,,
Open,06-01-1998 22:00,Cochin (India),,India,,"it was ""V"" in shape and had red lights and i t just came acroos the sky and took a steep turn and went off into sky very slowly upwards",04-11-2001,,
Open,05/23/1998 20:00,Kolhapur (India),,India,Egg,when we went to eve walk we saw one egg like thing which is colouries with redium green. and just passed away with speedly.,10/29/2002,,
Open,04/25/1998 08:30,Chandigarh (India),,India,Oval,"Oval shaped, Blinkin' of lights",05/18/2001,,
Open,03/14/1997 18:15,"Trivandrum, Kerala State (India)",,India,Light,"Fast moving bright light seen over Trivandrum, India.",06/20/2007,,
Open,10-02-1994 20:30,New Delhi (India),,India,Other,Hexagonal UFO in Delhi sky,09/19/2005,,
Open,06/15/1994 05:30,Faridabad (India),,India,Sphere,I WAS ALMOST 7 AT THAT TIME. I WAS NOT KNOWING THAT I CAN PRESENT MY VIEWS. MY ELDER BROTHER HAS ALSO SEEN IT. IT WAS A SPHERICAL SHAPE,08/16/2003,,
Open,06/14/1994 19:00,Sultanpur (India),,India,Other,HUMANOID IN SAREE,08-02-2009,,
Open,03-01-1994 03:00,Mumbai (India),,India,Other,A Pterodactyl with a fiery tail,06/21/2006,,
Open,05-05-1993 20:00,Parkal (India),,India,Disk,large formation of lights,02-01-2008,,
Open,04-12-1993 21:00,New Delhi (India),,India,Circle,It was UFO,02-08-2007,,
Open,11/20/1992 01:30,Calcutta (Kolkata) (India),,India,Diamond,A sparkling ball with edges diffusing various coloured fashes.,12/14/2003,,
Open,06-01-1992 00:00,Home Front Compound (India),,India,Disk,I am a Spiritualist who now believes in the unseen: for it is from that nothing - that everything comes. Time to think from the Beyond:,04-01-2011,,
Open,04/14/1991 07:15,Panchgani (India),,India,Other,shooting star like ufo,11/17/2004,,
Open,06/30/1990 18:00,Delhi-33 (India),,India,Triangle,"in 1990-91 a ufo came over my house a-67 indra nagar 6no lane,delhi-33,india V shape ufo with disco lights below small shape ufo small",12/25/2010,,
Open,06/30/1990 18:00,Delhi (India),,India,Triangle,Triangle ufo seen with disco lights below,12/21/2011,,
Open,06-01-1990 18:00,Delhi,,India,Triangle,Saw triangle plane like object over my house standing it has disco lights all over its edges.no noise,12/22/2011,,
Open,01-01-1990 18:00,Delhi (India),,India,Triangle,Saw triangle shape plane with disco lights all over its edges standing over my house,12/31/2011,,
Open,06/30/1988 00:00,CHENNAI CITY (MADRAS) (India),,India,Oval,"Dear all, 05.04.02 On a pleasant evening it was still sun",04-04-2002,,
Open,09/15/1985 02:30,Mumbai (India),,India,Other,UFO SPOTTED 20 YRS BACK. WITNESSES REPORT IT NOW DUE TO FEAR!!!,06/20/2006,,
Open,03/15/1985 23:00,Pune (India),,India,Circle,The object took round around one fixed object at a very high speed. The fixed object might be the place from where these UFO's might be,05/14/2002,,
Open,06/30/1983 20:00,Gomardhi (India),,India,Other,"Faint Star-like object moved from point A to point B, disappeared for some time, appeared again at point B, traveled back to A.",12/26/2016,,
Open,05/15/1982 19:00,PUNE (India),,India,Circle,"I feel that the object was able to sense my mind, illuminated circular object, parabolic motion",05/13/2002,,
Open,04/20/1980 00:00,Hyderabad (India),,India,Other,"Bell shaped Cloud appears over Indian city, three smaller ones appear below it, they all merge together forming a bright orange ball",02/25/2004,,
Open,07/15/1979 15:00,Deoghar (India),,India,Circle,"Multiple white couloured, perfectly round, full-moon like (without spots) objects crossing the sky from east to west....equal sizes.",01-02-2016,,
Open,06/30/1978 20:00,Bhandara (near Nagpur) (India),,India,Fireball,Orange Ball at Northern Sky moving from West to East for a minute,01/20/2008,,
Open,06/30/1978 20:00,Guntur (India),,India,Circle,"Whirls of celestial light,were falling from sky in the late evening,in 1970-80 in India,A.P.,Guntur",05-08-2013,,
Open,01-06-1978 19:00,"Shantineketan, (West Bengal) (India)",,India,Light,A brilliant light moved super fast in the sky and zig zagged away at unearthly speed.,08-03-2002,,
Open,07/15/1977 16:30,"Korba, MP (India)",,India,Unknown,A fast moving low altitude orange colored cloud like object,03-10-2007,,
Open,05-01-1977 19:00,Bhandara (near Nagpur) (India),,India,Fireball,"Orange ball, fast moving at low altitude with no sounds",06/24/2008,,
Open,06/30/1973 00:00,Khada (Gujarat) (India),,India,,"It had been long time 1973 India Gujarat state village Khada. that time, we were sitting out side in open space and notice 2 militar",08/29/2013,,
Open !,05/25/1972 15:33,Dehradun,Uttarakhand,India,Disk,A huge flat silvery white object flew a few feet above me in full speed towards Mussoorie a hill station ahead of Dehradun.,08-05-2023,,
Open,01-10-1963 09:15,"Tambaram, Chennai (India)",Tamil Nadu,India,Sphere,Orb strike against my grandmothers head,01/20/2022,,
Open,06/30/1948 20:00,Ancheli (Gujarat) (India),,India,Fireball,"Late 40's. Brightlight blue light, Lit up 1/2 football field, went over, swoop down, up and straight., Village, INDIA.",08/29/2014,,
Open,,Kolkata (India),,India,Fireball,"It look like it was a shooting star but it was shining brightly in the night sky light, made an old movement, and made a slight sound..",10-05-2019,,
