Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,10/31/2011 20:30,Dehradun (Uttar Pradesh) (India),,India,Flash,"It was a conical flare at very high speed( 50M?), no sound and it was there for few seconds.",11-01-2011,,
Open,10/26/2011 23:15,New Delhi (India),,India,Fireball,Bright reddish-white UFO's seen hovering over,10/27/2011,,
Open,10/13/2011 18:45,Mysore (India),,India,Light,It was a star like thing which was not twinkling . . . But moving very swiftly . . !,10/13/2011,,
Open,09/30/2011 18:15,Gangtok (India),,India,Cylinder,Have taken some photo in which some light in mountain is visible,09/30/2011,,
Open,05/15/2011 21:45,Pune (India),,India,Triangle,"Dark orange triangular shape, looks like asbestos material.",09/17/2014,,
Open,05-10-2011 02:00,Andhalgaon,Maharashtra,India,Star,A star like object started moving in zigzag pattern,05-04-2024,,
Open,03/15/2011 20:35,Delhi (India),,India,Chevron,"Strange object seen hovering below Sirius emitting lights in New Delhi, India",03/16/2011,,
Open,12/17/2010 17:45,Janakpuri (New Delhi) (India),,India,Cigar,cigar shape ufo,12/17/2010,,
Open,11/13/2010 01:10,Ranchi (India),,India,Unknown,it was about 1 am in the midnight.after my studies i was about to sleep.i usually study late at night so u can remove considerations li,04/22/2011,,
Open,08-09-2010 21:00,"Mamria Thethar, Rewari (HR) (India)",,India,Circle,It was the night of 09 aug 10 on the auspicious festival of maha shivratri an UFO was observed by many villagers including me. It was,10-01-2010,,
Open,07/20/2010 21:55,Hyderabad (India),,India,Fireball,It was a burning flame(with out candel),10-06-2010,,
Open,05/17/2010 18:21,Alwar (India),,India,Disk,Silverish white flying object,04-07-2015,,
Open,05/17/2010 18:21,Alwar (India),,India,Disk,Silverish white flying object.,04-07-2015,,
Open,02/27/2010 18:00,Hyderabad (India),,India,Unknown,"This is the second report I am submitting as I have sighted two UFOs thus far. The first was when I was studying in Bangalore, India, i",03-05-2010,,
Open,01-01-2010 20:00,Delhi (India),,India,Changing,Moon came as heart shaped in my mobile.it moon changes shape as i took photo,02-07-2012,,
Open,12/26/2009 21:09,Bangalore (India),,India,Triangle,"Nagarbhavi in Bangalore, India- Three-winged triangular object with blinking lights.",12/26/2009,,
Open,11/13/2009 00:00,Chandigarh (India),,India,Triangle,I have a recording... i looked up and saw these lights going across the sky.,01-03-2015,,
Open,11-01-2009 20:10,Chennai (India),,India,Triangle,As you have mentioned in the characteristics an aircraft was around the event & that object had lights emitting around it.,01-11-2010,,
Open,09-04-2009 07:30,Chennai (India),,India,Circle,blackhole like object seen in chennai,11-11-2009,,
Open,08-11-2009 19:00,Dhubri (India),,India,Light,A bright Light in the frame while taking picture of a small boat on the River Brahmaputra. ((NUFORC Note: Barn owl in flight. PD)),08/27/2009,,
Open,07/19/2009 06:05,Faizabad (India),,India,Cigar,It was highly illuminated and a trail of green color was seen behind it. It had silver colored windows and was moving very fast towards,08/15/2009,,
Open,05/30/2009 21:30,Dehradun (India),,India,Disk,Two Disc type objects of white colour were revolving around each other,05/30/2009,,
Open,03/15/2009 19:30,Calicut (India),,India,Other,"THREE ORANGE LIGHT SPOTS IN A STRAIGHT LINE, MOVING EAST AT CONSTANT SPEED, THEY ALL DISAPPEARED AT A CERTAIN AREA ONE BY ONE.",03/15/2009,,
Open,02/13/2009 22:14,Chennai (India),,India,Sphere,"White spherical object revolving around its own axis having a random motion; from Chennai. ((NUFORC Note: ""Twinkling"" star? PD))",02/13/2009,,
Open,01/28/2009 20:15,Bangalore (India),,India,Triangle,Huge Black Triangle seen over Bangalore,07/24/2009,,
Open,01/28/2009 20:15,Bangalore (India),,India,Triangle,Huge black triangle seen traveling in North East direction in Bangalore,07/24/2009,,
Open,01/26/2009 20:30,Jaipur (India),,India,Light,"I am resident of jaipur ,at 8.30 PM on 26 jan 2009. I saw an object like star but 3-4 times bigger and blinking brightly more than a st",01/26/2009,,
Open,01/24/2009 12:06,Yavatmal (India),,India,Circle,Bright spherical light which could be seen clearly at noon,01/28/2009,,
Open,12-09-2008 20:48,Kolkata (India),,India,Light,i was flying from assam to kolkata approx hdg 280' alt 20000 an object just comming towards our aircraft then going backward...color of,12-12-2008,,
Open,12-03-2008 04:07,,Kerala,India,Light,A flash of light like a plane moving,07/29/2023,,
Open,11/30/2008 19:30,"Balapur, Hyderabad (India)",,India,Sphere,"On the night of November 30th, 2008 between 19:30 Hrs to 21:30 Hrs there were 3 pairs of strange lights appeared one after the other an",12-04-2008,,
Open,11/22/2008 19:30,Bangalore (India),,India,Circle,Bright lighted object seen at Bangalore 22nd November 2008,11/22/2008,,
Open,11/21/2008 18:30,Mansa (India),,India,Disk,15 mins of footage on national tv,11/24/2008,,
Open,11/18/2008 22:20,Thane,Maharashtra,India,Sphere,Bright object that came in a straight line & stood there for 10-20 seconds. Then it went back the way it came,02-03-2025,,
Open,11-07-2008 14:25,New Mumbai,,India,Disk,"Silver disc sighted in the afternoon, Mumbai, India.",12/25/2008,,
Open,08-05-2008 22:02,Karimnagar (India),,India,Circle,Blue light over karimnagar INDIA viewed from top floor building,08-06-2008,,
Open,08-01-2008 19:33,Faridabad (India),,India,Disk,a huge bright orange sphere appeared in a photograph clicked by me. 500 Lights On Object0: Yes,08-01-2008,,
Open,07/24/2008 21:00,Burhanpur (India,,India,Disk,"UFO seen in India, Burhanpur",07/24/2008,,
Open,07-11-2008 01:00,Kurseong (India),,India,,"UFO’ lands in Kurseong KURSEONG, July 11: A circular polymer object measuring about 3 ft in diameter and around 1.5 ft tall dropped fr",07/14/2008,,
Open,05/28/2008 00:00,New Delhi (India),,India,Light,could have been a star,05/27/2008,,
Open,03-08-2008 23:15,Dombivli (India),,India,Oval,"Hi, I was just gazing at the sky at the horizon on the East when I saw a light floating in the sky. First I thought that it may be a Ai",03-09-2008,,
Open,02/25/2008 00:00,Noida (India),,India,Unknown,"I WAS RETURNING HOME IN MIDNIGHT FROM GREATER NOIDA TO NOIDA VIA TAJ EXPRESS WAY.AS IT WAS MIDNIGHT TRAFFIC WAS LOW ,I WAS DRIVING BIKE",04/23/2008,,
Open,02/15/2008 00:00,Dasuya (India),,India,Triangle,((HOAX??)) It was the festival of Dipawali in India. Suddenly I noticed a triangle shape.,02/15/2008,,
Open,01-06-2008 20:00,Chandigarh (India),,India,Oval,Lights blinking or rotating in oval shap in night. Seen over chandigarh,01-05-2008,,
Open,01-04-2008 20:00,Chandigarh (India),,India,Oval,Lights blinking or rotating in oval shap in night. Seen over chandigarh,01-05-2008,,
Open,01-01-2008 18:20,Kayamkulam (in Kerala state) (India),,India,Circle,"I have seen a mysterious light, flaming, exciting Colour changing, moving towards upwards in the shape of an Indian ‘coin’",01/16/2008,,
Open,12/30/2007 20:15,Alappuzha (India),,India,Unknown,"I have the habit of watching the sky in the night time. During that time, i watched that a light spot, something like aero plane is mov",01-01-2008,,
Open,12/21/2007 18:30,Chandigarh (India),,India,Fireball,The red object moved from one end to the other and then stopped,12/29/2007,,
Open,12-06-2007 18:37,Punjab (India),,India,Triangle,videos included,12-11-2007,,
Open,11/27/2007 22:00,Kolar (Bangalore) (India),,India,Light,bright objects changing colour in the sky. ((NUFORC Note: Sirius. PD)),11/28/2007,,
